seed,theta_chiang,se_chiang,bias_chiang,theta_iid,se_iid,bias_iid
7721,0.9709283219684554,0.0798750037233532,-0.029071678031544645,0.9453318996374739,0.04288673305535166,-0.05466810036252612
7722,0.951135528597269,0.08344967378609008,-0.04886447140273098,0.9529293273925535,0.04600528008575769,-0.04707067260744646
7723,1.0013841274399333,0.08511698973370752,0.0013841274399333248,1.0205989233711064,0.03562779503273668,0.02059892337110636
7724,1.07922480982156,0.1153814200827586,0.07922480982156,1.000952776224131,0.039594093704929584,0.0009527762241310356
7725,0.9660103357521698,0.10614656460129938,-0.03398966424783023,0.9759151883493298,0.03702706297033668,-0.024084811650670224
7726,1.0616747849521582,0.10159489904857026,0.06167478495215817,1.06198880659821,0.04454582561631593,0.06198880659820993
7727,0.9297448065707422,0.10358086909434558,-0.07025519342925779,0.9883534636346597,0.0433722700564477,-0.011646536365340299
7728,1.0199005717341474,0.09420950473963872,0.019900571734147388,0.9785468558664253,0.04390987770200685,-0.021453144133574686
7729,1.0741087706305736,0.10456872816021864,0.07410877063057364,1.0275644220402724,0.04452778971548948,0.02756442204027243
7730,0.90664407008796,0.0992822646356284,-0.09335592991204,1.0053794681975519,0.037313451642304325,0.005379468197551862
7731,1.1823482898382742,0.10282012768875702,0.18234828983827422,1.148535476860764,0.03725082353430709,0.14853547686076407
7732,0.9304315063166138,0.07436322439079378,-0.06956849368338625,0.9563771400726467,0.036412107291346675,-0.043622859927353264
7733,1.0274898058568165,0.0886439343305419,0.027489805856816485,0.9970335577259302,0.03883520330183329,-0.002966442274069836
7734,1.0945916288402622,0.08157351148914636,0.09459162884026218,1.0548974684963774,0.04000985563844075,0.054897468496377444
7735,0.950163024938489,0.08510868146824092,-0.04983697506151097,0.9680663161947745,0.038497767070911244,-0.03193368380522554
7736,1.0854769874299688,0.07807882743568892,0.08547698742996879,1.0303339344718332,0.03446506256122317,0.03033393447183319
7737,0.8596216261811048,0.08784897513514446,-0.14037837381889517,0.9632921453682135,0.038769734120257054,-0.036707854631786496
7738,1.0215128230591226,0.07594519010495326,0.02151282305912261,0.9674301395529534,0.03618972116872323,-0.03256986044704657
7739,0.9228569594606707,0.10777697889942792,-0.0771430405393293,0.9180823108116726,0.043140471184123196,-0.08191768918832742
