scenario,sim_id,seed,n,tau_true,dgp,dgp_label,learner,learner_label,strategy,N,M,tau_hat,se,se_iid,se_cr,covers,covers_iid,covers_cr,bias
balkus_original__earth_exact__N20__no_cf,42,7733,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.8106854643612764,0.11139311213150176,0.11139311213150176,0.13648843136322772,0,0,1,-0.2343145356387235
balkus_original__earth_exact__N20__no_cf,43,7734,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0880646044251763,0.10821866740483259,0.10821866740483259,0.15275019423418873,1,1,1,0.043064604425176345
balkus_original__earth_exact__N20__no_cf,44,7735,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0973870674675867,0.10338544098047094,0.10338544098047094,0.13741444065640282,1,1,1,0.05238706746758681
balkus_original__earth_exact__N20__no_cf,45,7736,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9749289724109158,0.09823653746524205,0.09823653746524205,0.09322306046477676,1,1,1,-0.07007102758908412
balkus_original__earth_exact__N20__no_cf,46,7737,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0955688783161828,0.10987178139323113,0.10987178139323113,0.11302794718441628,1,1,1,0.05056887831618284
balkus_original__earth_exact__N20__no_cf,47,7738,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0811696784333287,0.10398443070589398,0.10398443070589398,0.04103085218050757,1,1,1,0.036169678433328745
balkus_original__earth_exact__N20__no_cf,48,7739,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0933558152416671,0.1039952306873958,0.1039952306873958,0.09462285533332006,1,1,1,0.04835581524166721
balkus_original__earth_exact__N20__no_cf,49,7740,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.165992463779048,0.10156727570244303,0.10156727570244303,0.13684102955688243,1,1,1,0.12099246377904804
balkus_original__earth_exact__N20__no_cf,50,7741,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9300566404160626,0.11732012264173144,0.11732012264173144,0.10164440687578423,1,1,1,-0.11494335958393731
balkus_original__earth_exact__N20__no_cf,51,7742,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0837041224219102,0.11043309536927386,0.11043309536927386,0.0916159427760308,1,1,1,0.038704122421910236
balkus_original__earth_exact__N20__no_cf,52,7743,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9582157241764706,0.09191605021590156,0.09191605021590156,0.0700352427508107,1,1,1,-0.08678427582352932
balkus_original__earth_exact__N20__no_cf,53,7744,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0858957852479736,0.09835819258530719,0.09835819258530719,0.10426013055900203,1,1,1,0.04089578524797366
balkus_original__earth_exact__N20__no_cf,54,7745,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9800054735107921,0.11438629027428453,0.11438629027428453,0.06976159803085652,1,1,1,-0.06499452648920778
balkus_original__earth_exact__N20__no_cf,55,7746,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.8452109235013887,0.11774805605774805,0.11774805605774805,0.12471377371910673,1,1,1,-0.19978907649861122
balkus_original__earth_exact__N20__no_cf,56,7747,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9898067806270054,0.13335464068033287,0.13335464068033287,0.11619034923510868,1,1,1,-0.055193219372994484
balkus_original__earth_exact__N20__no_cf,57,7748,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1019771730262982,0.1178531458966698,0.1178531458966698,0.12200166778113566,1,1,1,0.05697717302629823
balkus_original__earth_exact__N20__no_cf,58,7749,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9977349637390415,0.09748092650012236,0.09748092650012236,0.12080944607801519,1,1,1,-0.04726503626095846
balkus_original__earth_exact__N20__no_cf,59,7750,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1704009215289168,0.10364142357562456,0.10364142357562456,0.12461996237677633,1,1,1,0.1254009215289169
balkus_original__earth_exact__N20__no_cf,60,7751,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.7427104081684598,0.12342683794092557,0.12342683794092557,0.1388932521873801,0,0,0,-0.30228959183154014
balkus_original__earth_exact__N20__no_cf,61,7752,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.082943561570203,0.105176801087385,0.105176801087385,0.10193308565249835,1,1,1,0.037943561570203066
balkus_original__earth_exact__N20__no_cf,62,7753,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1635653549102185,0.10417517279773662,0.10417517279773662,0.13325386516186025,1,1,1,0.11856535491021858
balkus_original__earth_exact__N20__no_cf,63,7754,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2698981888915504,0.12337870961179517,0.12337870961179517,0.1594787362225496,1,1,1,0.22489818889155044
balkus_original__earth_exact__N20__no_cf,64,7755,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.268784370650307,0.10771085346184099,0.10771085346184099,0.08606253745381504,0,0,0,0.2237843706503071
balkus_original__earth_exact__N20__no_cf,65,7756,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2194055447512222,0.11479318956031492,0.11479318956031492,0.09114642706663878,1,1,1,0.17440554475122227
balkus_original__earth_exact__N20__no_cf,66,7757,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9884451592607116,0.11231193748345773,0.11231193748345773,0.11831253704350403,1,1,1,-0.05655484073928829
balkus_original__earth_exact__N20__no_cf,67,7758,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9028446896533743,0.09189930582210747,0.09189930582210747,0.10102491022315604,1,1,1,-0.14215531034662565
balkus_original__earth_exact__N20__no_cf,68,7759,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9979577236506304,0.10199710520344658,0.10199710520344658,0.09712111786808567,1,1,1,-0.04704227634936953
balkus_original__earth_exact__N20__no_cf,69,7760,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.1172729420710532,0.10551974528870875,0.10551974528870875,0.0964661585301901,1,1,1,0.07227294207105328
balkus_original__earth_exact__N20__no_cf,70,7761,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0224718128470869,0.11548810271705974,0.11548810271705974,0.11406439545154894,1,1,1,-0.02252818715291305
balkus_original__earth_exact__N20__no_cf,71,7762,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.128733193848972,0.10618213555400305,0.10618213555400305,0.09017302182450418,1,1,1,0.08373319384897204
balkus_original__earth_exact__N20__no_cf,72,7763,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0879570036438129,0.08982409987915511,0.08982409987915511,0.11973637087434147,1,1,1,0.04295700364381294
balkus_original__earth_exact__N20__no_cf,73,7764,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.2815715447439076,0.10963119303750395,0.10963119303750395,0.14140644461222235,0,0,1,0.23657154474390762
balkus_original__earth_exact__N20__no_cf,74,7765,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0729231997419388,0.09377357531263561,0.09377357531263561,0.11169274660043096,1,1,1,0.02792319974193891
balkus_original__earth_exact__N20__no_cf,75,7766,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.9554959672003912,0.09535154236769461,0.09535154236769461,0.11402875564404397,1,1,1,-0.08950403279960872
balkus_original__earth_exact__N20__no_cf,76,7767,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.086742966721552,0.09956914027523499,0.09956914027523499,0.11988102410530792,1,1,1,0.04174296672155209
balkus_original__earth_exact__N20__no_cf,77,7768,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0424380515684997,0.10804000683918435,0.10804000683918435,0.11398689822247547,1,1,1,-0.0025619484315002605
balkus_original__earth_exact__N20__no_cf,78,7769,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,0.8718605336602817,0.1151904040672452,0.1151904040672452,0.14326344507857797,1,1,1,-0.17313946633971822
balkus_original__earth_exact__N20__no_cf,79,7770,400,1.045,balkus_original,Balkus Original,earth_exact,MARS Baseline,no_cf,20,20,1.0597361141628026,0.09491063011639103,0.09491063011639103,0.11089563719832463,1,1,1,0.014736114162802627
