dgp,learner,strategy,n,n_reps,bias,bias_mcse,emp_se,emp_se_mcse,mod_se,mod_se_mcse,rel_se,rel_se_mcse,mse,rmse,coverage,coverage_mcse,mean_ci_length,se_noack_cr,cov_noack_cr
balkus_nocompress,earth_exact,as_iid,900,200,-0.21953725839838498,0.10676857956607641,1.5099357325765617,0.07568623933982864,1.4526021823512782,0.08022406779712397,0.9620291453547833,0.07175135665664686,2.328102524336597,1.5258120868365794,0.965,0.012995191418367032,5.6942005548170105,,
balkus_nocompress,earth_exact,as_iid,2500,200,0.011441322167021522,0.028474162882813972,0.40268547326096105,0.0201847988959728,0.3817209776167593,0.022628224924036437,0.9479382867367167,0.07358969387729754,0.16228649422833374,0.4028479790545482,0.845,0.02559052559053839,1.4963462322576966,,
balkus_nocompress,earth_exact,chiang,400,200,2.495113484445329,1.299901114179847,18.38337785417037,0.9214754682114884,16.067375937129995,0.9339190658539515,0.8740165199555545,0.06708382252985623,344.17417262946253,18.551931776218414,0.94,0.01679285562374667,62.98411367354958,,
balkus_nocompress,earth_exact,chiang,900,200,0.2644275997897699,0.4307946341778679,6.092356142518969,0.3053822193871322,4.165822495183159,0.24110445744274278,0.6837785575451835,0.05235389404868104,37.18672532281919,6.09809194115825,0.93,0.01804161855266871,16.33002418111798,,
balkus_nocompress,earth_exact,chiang,2500,200,0.008359269472733452,0.06226688981529541,0.8805868006358192,0.04413982788438789,0.7138372698151259,0.03435914680849483,0.8106381668447751,0.0563341086490732,0.7755029908401457,0.8806264763451901,0.905,0.02073342711661533,2.7982420976752933,,
balkus_nocompress,earth_exact,no_cf,400,200,0.052806538895026046,0.01742787318347401,0.24646734619387314,0.01235429174303352,0.15601302178954235,0.0024398312813403247,0.632996720250403,0.03323763150863144,0.06353468328992241,0.2520608721914657,0.81,0.02773986301336039,0.611571045415006,,
balkus_nocompress,earth_exact,no_cf,900,200,0.007863578972325204,0.010498731825464656,0.14847448935290158,0.007442353667494751,0.10437428247674532,0.0014297041677924882,0.702977884831537,0.036529115650146084,0.02210650986285888,0.14868258089923944,0.825,0.02686773157525585,0.40914718730884164,,
balkus_nocompress,earth_exact,no_cf,2500,200,0.016780091888123728,0.0072201106703742735,0.10210778431877997,0.005118200752308458,0.0658349455376453,0.0007691484815668776,0.6447593195452067,0.03318509813044556,0.010707571102264364,0.10347739416058159,0.72,0.03174901573277509,0.25807298650756955,,
balkus_nocompress,lasso,as_iid,400,200,0.09233926161060033,0.05901446605526294,0.834590582715595,0.04183424581017833,0.8217739675371956,0.04954988547098683,0.9846432305326323,0.0772063279073331,0.7050679799923474,0.8396832617078581,0.91,0.02023610634484806,3.2213539527458064,,
balkus_nocompress,lasso,as_iid,900,200,0.04119626760415931,0.014639751637997809,0.20703735316230235,0.010377844782166646,0.20263100559668012,0.008429309505538024,0.9787171372782767,0.0637524743679408,0.04456159806896541,0.2110961820331325,0.945,0.016120638945153514,0.7943135419389861,,
balkus_nocompress,lasso,as_iid,2500,200,0.02323287113083055,0.010081929684855882,0.14258001695215092,0.007146890463809949,0.12992398274293593,0.006316279980117537,0.9112355680707888,0.06363008729009773,0.02086882753505742,0.1444604704929948,0.815,0.027456784225396828,0.5093020123523089,,
balkus_nocompress,lasso,chiang,400,200,0.19415247238731595,0.09348244394383018,1.3220414006914725,0.06626794751002656,1.3814362015526946,0.08295332312854974,1.0449265815958235,0.08173435710495969,1.7854886476763778,1.3362217808718648,0.945,0.016120638945153514,5.415229910086563,,
balkus_nocompress,lasso,chiang,900,200,0.0143948435216928,0.02601618890195675,0.3679244718640764,0.018442387338543597,0.34342475847844783,0.018327933426073716,0.9334110251989991,0.06834149043249636,0.13557562851647356,0.36820595937121053,0.935,0.01743201078476031,1.3462250532355156,,
balkus_nocompress,lasso,chiang,2500,200,0.030940975322319063,0.011647453015220358,0.1647198602122803,0.008256660528707382,0.12164485429367482,0.005454016371822591,0.738495371091906,0.04966506910692139,0.02808997630224952,0.1676006452918649,0.82,0.027166155414412252,0.4768478288312053,,
balkus_nocompress,lasso,no_cf,400,200,0.03893159232317014,0.019330819620905177,0.27337907279672036,0.013703254706666047,0.2554756010447319,0.013440438780063244,0.9345104525784197,0.0679069613215978,0.07625178632401204,0.27613725993427984,0.83,0.026561249970586856,1.001464356095349,,
balkus_nocompress,lasso,no_cf,900,200,0.026028095396662204,0.00991741601975468,0.14025344238833268,0.007030269818652672,0.11478060415700443,0.0023605915299603586,0.8183799427838695,0.0443402456096965,0.0203484898517551,0.14264813301181023,0.885,0.022558257911461158,0.44993996829545735,,
balkus_nocompress,lasso,no_cf,2500,200,0.014620134451570755,0.007717300109134423,0.10913910479241268,0.005470649000774172,0.08035760660041884,0.002004432544312514,0.7362861071039798,0.041223877573824994,0.012125092526271242,0.11011399786707975,0.785,0.02904952667428507,0.31500181787364184,,
balkus_original,deep_rf,as_iid,400,200,0.13936408325997446,0.014526779392487725,0.20543968434458132,0.01029776088063696,0.1765033662113298,0.0027770519121365065,0.8591493253819598,0.04513693122307626,0.061627811606494304,0.24824949467520432,0.85,0.025248762345905194,0.6918931955484129,,
balkus_original,deep_rf,as_iid,900,200,0.0600588040646608,0.008075621816964699,0.11420653898147534,0.005724656524801543,0.10134835788604622,0.000927028949659518,0.8874129168951109,0.045216536755806176,0.016650193491804563,0.12903562876897437,0.905,0.02073342711661533,0.3972855629133012,,
balkus_original,deep_rf,as_iid,2500,200,0.032298611107573295,0.0067383701165210745,0.09529494407073677,0.00477670392799162,0.09249177281214285,0.004931059873556278,0.9705842604145595,0.07102456692536482,0.010124326644923107,0.1006197130035815,0.875,0.023385358667337135,0.3625677494236,,
balkus_original,deep_rf,chiang,400,200,0.27245820347463334,0.021654590912231358,0.3062421615571876,0.015350532499825124,0.2429713602002014,0.006449424164246288,0.793396176949427,0.04500133803133262,0.16801773415584328,0.4098996635224812,0.755,0.030411757594719844,0.9524477319847895,,
balkus_original,deep_rf,chiang,900,200,0.1283329075174278,0.018695523043306104,0.26439462243502215,0.013252904903199943,0.22421599661793673,0.012642560221072453,0.8480353894982877,0.06397977175254152,0.0863738515244346,0.293894286307908,0.75,0.030618621784789725,0.878926706742312,,
balkus_original,deep_rf,chiang,2500,200,0.043313917887384056,0.005480040180153254,0.07749947145122231,0.0038846974864011367,0.07147690494862591,0.002329191434088413,0.922288934494386,0.055140625359356425,0.00788226355797387,0.08878211282670553,0.84,0.025922962793631443,0.28018946739861356,,
balkus_original,deep_rf,no_cf,400,200,-0.11655715605243637,0.010669791210504088,0.15089363437584125,0.007563614450489489,0.05614726926188145,0.00036167703290525505,0.37209832935716525,0.018804984993105026,0.03635445952218207,0.1906684544495551,0.445,0.03514078826662828,0.22009729550657528,,
balkus_original,deep_rf,no_cf,900,200,-0.08256259973192778,0.007124392956276083,0.10075413142440985,0.00505034826379789,0.03839712124047817,0.00016312710760045488,0.3810972383726554,0.01917116802949589,0.016967977873581775,0.1302611909725294,0.395,0.03456696399743547,0.15051671526267443,,
balkus_original,deep_rf,no_cf,2500,200,-0.04002972200121516,0.004193864853105459,0.059310205540215884,0.0029729519707115053,0.023896318463910354,7.076253334632355e-05,0.4029039900680704,0.020230963240586642,0.005120079124717224,0.0715547281786272,0.515,0.03533942557541082,0.09367356837852858,,
balkus_original,earth_exact,as_iid,400,200,0.3074477761502135,0.24862351058618137,3.5160674059578847,0.176244533777735,3.021585434868571,0.18569849762325666,0.8593650479363886,0.06815346285896208,12.45725413829912,3.5294835512152654,0.95,0.015411035007422448,11.844614904684798,,
balkus_original,earth_exact,as_iid,900,200,0.020287942047251963,0.07215452660984424,1.020419101182521,0.05114898776999242,0.9172001119732003,0.05689196211156825,0.898846474855572,0.0716827583962016,1.0416667426506565,1.0206207633840576,0.97,0.012062338081814825,3.5954244389349452,,
balkus_original,earth_exact,as_iid,2500,200,-0.036157267785506104,0.032678894193608796,0.46214935371956944,0.023165453894305313,0.3617932719687727,0.021644825492559517,0.7828492435549472,0.06110123560504867,0.2148893731571285,0.46356161743303176,0.915,0.019719913792915014,1.418229626117589,,
balkus_original,earth_exact,chiang,400,200,0.6607790433498405,0.45773084066212166,6.4732916278081065,0.3244767898980434,5.4892800605541785,0.2999259997565194,0.8479889948064768,0.06287669952827889,42.34013344278086,6.506929647904675,0.935,0.01743201078476031,21.517977837372378,,
balkus_original,earth_exact,chiang,900,200,-0.07112088830410464,0.27684688088720316,3.9152061365137154,0.19625155052611984,2.4641226786439216,0.15031402850149975,0.6293723989812943,0.04969128787124586,15.33389727214782,3.9158520493179796,0.91,0.02023610634484806,9.659360900284172,,
balkus_original,earth_exact,chiang,2500,200,-0.14961984789001584,0.08226175228720412,1.1633568574914004,0.058313810087450485,0.870234324544602,0.05473254905464509,0.7480373016592072,0.06016109517076107,1.375785276754898,1.1729387352947716,0.925,0.01862458053218917,3.4113185522148397,,
balkus_original,earth_exact,no_cf,400,200,0.02579036799628265,0.008906967686027766,0.1259635450119937,0.006313981986241671,0.1075767460389537,0.0007472375720405098,0.8540307914381953,0.04321776351552637,0.016531957753372243,0.128576660997913,0.89,0.022124646889837583,0.4217008444726985,,
balkus_original,earth_exact,no_cf,900,200,0.00247668286483029,0.006514343487089979,0.0921267290939949,0.004617895660966549,0.07227252890701938,0.00041912266493182674,0.7844903386647027,0.03958524182984381,0.00849346817157127,0.092160013951666,0.87,0.02378024390118823,0.283308313315516,,
balkus_original,earth_exact,no_cf,2500,200,0.004939237187011872,0.003791134810844222,0.053614742662806573,0.0026874642130603017,0.04397064418030908,0.0001545247011679127,0.8201222648190055,0.041209923034035555,0.0028989366947885322,0.053841774625178654,0.9,0.021213203435596423,0.1723649251868116,,
balkus_original,lasso,as_iid,400,200,0.025178209882313406,0.011593338589464876,0.16395456666404595,0.008218299829369502,0.15796068416271308,0.005380960643396573,0.963441808158874,0.058389660447984514,0.027515042182872915,0.1658765872052862,0.94,0.01679285562374667,0.6192058819178353,,
balkus_original,lasso,as_iid,900,200,0.010141777278351057,0.006886677785425385,0.09739233123842092,0.004881836447036486,0.08743156581735365,0.0021965095127818627,0.8977253620032684,0.050334369639102164,0.009588121830417977,0.09791895541935676,0.92,0.019183326093250873,0.3427317380040263,,
balkus_original,lasso,as_iid,2500,200,0.005184003053235705,0.003726911973912299,0.052706494592774565,0.0026419378510269464,0.0463329135064798,0.000392757439677039,0.8790740849768349,0.04468965642053087,0.0028048484599141315,0.052960820045710504,0.93,0.01804161855266871,0.1816250209454008,,
