scenario,sim_id,seed,n,tau_true,dgp,dgp_label,learner,learner_label,strategy,N,M,tau_hat,se,se_iid,se_cr,covers,covers_iid,covers_cr,bias
balkus_fullgrid__deep_rf__N20_M20__no_cf,35,7726,400,1.0255818691333163,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.37649565884198255,0.05398395830539247,0.05398395830539247,0.05682942028008276,0,0,0,-0.6490862102913337
balkus_fullgrid__deep_rf__N20_M20__no_cf,36,7727,400,0.9704690747310822,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5599353175572628,0.06408458196383007,0.06408458196383007,0.07924735653662264,0,0,0,-0.41053375717381946
balkus_fullgrid__deep_rf__N20_M20__no_cf,37,7728,400,0.9903886445803747,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5067591897751477,0.05096793934774456,0.05096793934774456,0.06765747487482592,0,0,0,-0.483629454805227
balkus_fullgrid__deep_rf__N20_M20__no_cf,38,7729,400,0.9843691171877402,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.42117204284026194,0.0455697912154393,0.0455697912154393,0.04068343855705556,0,0,0,-0.5631970743474783
balkus_fullgrid__deep_rf__N20_M20__no_cf,39,7730,400,1.1513419984472166,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4203934485643969,0.04276312164166925,0.04276312164166925,0.05741883368770956,0,0,0,-0.7309485498828197
balkus_fullgrid__deep_rf__N20_M20__no_cf,40,7731,400,1.0047404083665838,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.46116233879761565,0.05467353290395276,0.05467353290395276,0.0825196275238457,0,0,0,-0.5435780695689683
balkus_fullgrid__deep_rf__N20_M20__no_cf,41,7732,400,1.0080599091838756,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5283798513101442,0.054464603980336826,0.054464603980336826,0.07666772454584392,0,0,0,-0.47968005787373136
balkus_fullgrid__deep_rf__N20_M20__no_cf,42,7733,400,1.1548111134701993,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5688708603183911,0.04915852093433033,0.04915852093433033,0.030908576349118026,0,0,0,-0.5859402531518082
balkus_fullgrid__deep_rf__N20_M20__no_cf,43,7734,400,0.9968967552955894,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5372079047195953,0.043027654812499705,0.043027654812499705,0.06364483853099184,0,0,0,-0.45968885057599407
balkus_fullgrid__deep_rf__N20_M20__no_cf,44,7735,400,0.8339159706837451,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3754726111179616,0.05937668104269124,0.05937668104269124,0.10737718728748334,0,0,0,-0.4584433595657835
balkus_fullgrid__deep_rf__N20_M20__no_cf,45,7736,400,0.8622440084890721,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5328231361073317,0.04717780601733941,0.04717780601733941,0.1096062639799645,0,0,0,-0.32942087238174045
balkus_fullgrid__deep_rf__N20_M20__no_cf,46,7737,400,1.0936528266117553,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4743783239693441,0.04610251947077658,0.04610251947077658,0.08628274310803187,0,0,0,-0.6192745026424112
balkus_fullgrid__deep_rf__N20_M20__no_cf,47,7738,400,0.9965080748568369,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.6584543878563609,0.050288799280654294,0.050288799280654294,0.11068953010033797,0,0,0,-0.338053687000476
balkus_fullgrid__deep_rf__N20_M20__no_cf,48,7739,400,0.993827483270461,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5459020085096347,0.06108130798050295,0.06108130798050295,0.09359632421479852,0,0,0,-0.44792547476082634
balkus_fullgrid__deep_rf__N20_M20__no_cf,49,7740,400,1.0917776227106952,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4975287453630605,0.03698241226405454,0.03698241226405454,0.04053932721286422,0,0,0,-0.5942488773476347
balkus_fullgrid__deep_rf__N20_M20__no_cf,50,7741,400,1.044767646323765,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.5314517703446917,0.05015949522907641,0.05015949522907641,0.031348953971274046,0,0,0,-0.5133158759790732
balkus_fullgrid__deep_rf__N20_M20__no_cf,51,7742,400,0.7114050069229069,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.4005919541876839,0.04694826543022214,0.04694826543022214,0.11230161664757321,0,0,0,-0.31081305273522297
balkus_fullgrid__deep_rf__N20_M20__no_cf,52,7743,400,0.9752301389752858,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.41539992119819547,0.04028350253508597,0.04028350253508597,0.03257860073262755,0,0,0,-0.5598302177770903
balkus_fullgrid__deep_rf__N20_M20__no_cf,53,7744,400,1.045563780928638,balkus_fullgrid,Dense Full-Grid,deep_rf,Deep RF,no_cf,20,20,0.3620960809129236,0.0501423896200621,0.0501423896200621,0.02333652977787638,0,0,0,-0.6834677000157143
